FID,id,geom,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,other_remarks,ownership,society_name,road_name,northing,easting,balanced,remarks,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_868,18044533,POINT (73.78897883000006 18.555070083000007),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55507008,73.78897883,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029589,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_869,18044534,POINT (73.7887632470001 18.555014142000072),,,29,5,3,Healthy,,Government,"Pashan Forest  ,","Banner Road
",18.55501414,73.78876325,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029591,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_86a,18044535,POINT (73.78901436900003 18.555083432000064),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55508343,73.78901437,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029590,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_86b,18044536,POINT (73.90118971500007 18.51735040600004),,,86,8,5,Healthy,,Private,Na,Kawade Mala Road,18.51735041,73.90118972,TRUE,Mechanically cut,N/A,41,Azadirachta indica Juss.,4029624,Neem,Neem,Medicinal,Seasonal,March-May,41,FALSE
trees_display.fid--1672c0a_16c6758e284_86c,18044537,POINT (73.78884002600007 18.555009692000038),,,29,5,3,Healthy,,Government,"Pashan Forest  ,","Banner Road
",18.55500969,73.78884003,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029593,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_86d,18044538,POINT (73.78894396100003 18.555057687000026),,,29,5,3,Healthy,,Government,"Pashan Forest  ,","Banner Road
",18.55505769,73.78894396,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029592,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_86e,18044539,POINT (73.78882728500011 18.555009692000038),,,28,4,3,Healthy,,Government,"Pashan Forest  ,","Banner Road
",18.55500969,73.78882728,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029594,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_86f,18044540,POINT (73.78882158500006 18.55502367700005),,,29,5,3,Healthy,,Government,"Pashan Forest  ,","Banner Road
",18.55502368,73.78882158,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029595,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_870,18044541,POINT (73.78881052100006 18.55502240600003),,,29,5,3,Healthy,,Government,"Pashan Forest  ,","Banner Road
",18.55502241,73.78881052,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029596,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_871,18044542,POINT (73.78906868400003 18.555119031000054),,,29,5,3,Healthy,,Government,"Pashan Forest  ,","Banner Road
",18.55511903,73.78906868,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029597,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
