fid,id,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,ownership,society_name,road_name,northing,easting,balanced,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_-70f,18040574,,,12,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50779098,73.90678112,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024598,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-70e,18040575,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50776141,73.90677474,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024599,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-70d,18040576,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50781578,73.90677441,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024600,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-70c,18040577,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50781006,73.90678212,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024601,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-70b,18040578,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50775058,73.90678274,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024602,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-70a,18040579,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50777127,73.90679017,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024603,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-709,18040580,,,14,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50777413,73.90678145,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024604,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-708,18040581,,,16,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50778589,73.90677743,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024605,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-707,18040582,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50778176,73.90679017,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024606,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-706,18040583,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50777858,73.90677676,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024607,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-705,18040584,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50777159,73.90677642,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024608,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
